62,17,2
62,10,1
62,30,
63,6,1
63,140,1
63,14,2
63,2,0.5
63,154,
63,37,
63,36,3
63,54,2
63,17,1
64,56,400
64,142,2
64,38,1
64,14,2
64,18,0.25
64,30,0.25
64,196,1
65,197,1
65,33,1
65,5,1
65,154,
65,198,1
66,199,2
66,64,
66,200,1
66,10,2
66,54,2
66,147,1
66,52,
66,8,
67,99,2
67,6,1.5
67,201,1
67,2,0.25
67,202,0.5
67,154,4
67,54,1
67,203,4
67,30,
67,18,0.25
67,25,0.5
68,14,4
68,204,1
68,52,1
68,54,1
68,17,0.5
68,30,
68,25,0.5
68,18,
68,8,
69,32,1
69,17,2
69,205,3
69,206,2
69,15,1.5
69,207,2
69,36,2
69,30,
70,57,15
70,6,1
70,10,1
70,18,
70,30,
70,2,0.5
70,37,
70,207,2
70,208,1.5
70,24,0.5
70,54,1
70,23,1
70,17,1
70,36,3
71,77,1
71,25,1
71,70,50
71,28,2
71,2,0.25
71,48,4
71,62,0.5
71,54,0.5
71,205,0.5
71,10,1
71,18,
71,30,
72,57,12
72,28,5
72,209,4
72,47,2
72,210,3
72,18,
72,30,
72,211,
73,6,1
73,212,1
73,128,4
73,14,1
73,18,
73,30,
73,8,
73,163,
74,57,5
74,213,300
74,214,1
74,215,2
74,216,1
75,217,250
75,143,20
75,88,3
75,218,3
75,104,1
76,2,2
76,6,1
76,21,0.3
76,107,4
76,54,1
76,25,1
76,18,
76,30,
76,219,
76,14,1
77,220,3
77,128,3
77,221,1
77,35,1
77,222,200
77,126,1
78,223,1
78,224,1
78,225,1
78,35,1
78,126,2
78,222,
79,6,1
79,201,0.5
79,226,2
79,227,1
79,8,
80,228,1
80,229,1
80,126,0.5
80,230,1
80,222,700
81,143,1
81,46,1
81,26,
81,27,1
81,231,4
81,75,1
81,18,0.25
82,232,100
82,11,1
82,5,1
82,113,5
82,24,
82,8,
82,54,2
82,17,1
82,23,
82,10,1
82,30,
82,25,
83,233,1
83,14,1
83,51,1
83,113,3
83,16,2
83,234,2
83,62,2
83,54,2
83,17,1
83,25,0.5
84,57,0.5
84,77,1
84,2,0.25
84,28,10
84,235,5
84,118,0.5
84,18,
84,30,
85,32,1
85,140,0.5
85,236,1
85,27,0.25
85,156,2
85,36,2.5
86,237,3
86,71,3
86,21,0.5
86,6,1
86,22,1
86,26,1
86,14,1
87,56,400
87,192,1
87,133,0.5
87,2,0.25
87,41,2
87,17,2
87,23,0.5
87,10,1
87,25,1
87,30,
87,15,1
87,24,1
87,17,0.5
87,238,2
87,16,2
88,139,4
88,239,1
88,35,1
88,186,0.5
88,240,12
89,77,1
89,49,60
89,45,1
89,47,3
89,18,1
89,30,
90,240,8
90,241,1
90,65,0.3
90,15,0.6
90,242,0.6
90,10,1
90,243,0.5
90,23,0.3
90,205,0.3
90,25,0.5
90,18,
90,26,
91,244,1
91,245,1
91,75,300
91,116,1
92,77,1
92,21,0.25
92,23,0.5
92,47,3
92,72,2
92,56,1
92,74,1
92,75,1
92,246,3
92,5,1
92,247,
92,37,
92,18,
92,30,
92,15,1
92,54,1
92,24,1
92,17,1
92,36,0.25
93,248,2
93,2,0.5
93,11,2
93,18,
93,30,
93,118,
93,35,2
93,154,
93,174,
94,77,1
94,21,0.5
94,23,1
94,47,5
94,249,80
94,48,5
94,235,5
94,250,
94,37,
94,54,3
94,10,2
94,17,1.5
95,251,100
95,190,2
95,118,1
95,23,1
95,182,6
95,6,2
95,25,1
95,60,70
95,15,2
96,252,80
96,253,3
96,62,2
96,23,0.25
96,8,2
96,254,1
97,6,1
97,226,2
97,21,1
97,14,2
97,23,0.5
97,25,
97,18,
97,30,
97,8,
97,113,2
97,127,
98,255,1
98,143,0.25
98,203,5
98,2,0.25
98,20,1
98,15,2
98,24,1
98,23,0.5
98,243,1.5
98,17,1
98,256,2
