ingre_id,﻿ingre_name,ingre_unit,ingre_main,ingre_img
159,부침가루,종이컵,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181433741_LPXZEX7LV.jpg%2F720_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
160,초고추장,적당량,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181831778_D85ROJE6S.jpg%2F838_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
161,칼국수면,인분,0,
162,바지락,종이컵,,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175544847_HFX9HHGW5.jpg%2F165_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
163,청양고추,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175424929_UFVKCT8IE.jpg%2F121_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
164,멸치다시마육수,종이컵,1,
165,국간장,숟가락,1,
166,반반한라면,봉,0,
167,불닭볶음밥,개,0,
168,콘샐러드,개,0,
169,무염버터,숟가락,1,
170,게살,개,0,
171,포도씨유,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180434421_M2QUJ1IQ4.jpg%2F435_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
172,달걀간장,숟가락,1,
173,삼치,마리,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181103499_IRY16UJPT.jpg%2F623_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
174,머스터드소스,숟가락,1,
175,간장게장,개,0,
176,라면사리,개,0,
177,샐러드,팩,0,
178,포도,적당량,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2543_000_1%2F20130718161536566_CYTNAZLBT.jpg%2F6369_1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
179,귤,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175727669_LBXPPEQKR.jpg%2F221_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
180,요거트,개,0,
181,제육볶음,캔,0,
182,조미김,개,0,
183,전어,마리,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180723010_RQY1LLLDM.jpg%2F516_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
184,케이퍼,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2506_000_1%2F20140227161119148_G6S57UEP8.jpg%2Fi-c73-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
185,그린올리브,개,1,
